Date,IXIC
1971/2/5,100
1971/2/8,100.839996
1971/2/9,100.760002
1971/2/10,100.690002
1971/2/11,101.449997
1971/2/12,102.050003
1971/2/16,102.190002
1971/2/17,101.739998
1971/2/18,101.419998
1971/2/19,100.699997
1971/2/22,99.68
1971/2/23,99.720001
1971/2/24,100.639999
1971/2/25,101.230003
1971/2/26,101.339996
1971/3/1,101.779999
1971/3/2,101.839996
1971/3/3,102.07
1971/3/4,102.779999
1971/3/5,103
1971/3/8,104.230003
1971/3/9,104.410004
1971/3/10,104.139999
1971/3/11,104.260002
1971/3/12,104.5
1971/3/15,105.129997
1971/3/16,105.559998
1971/3/17,105.5
1971/3/18,105.879997
1971/3/19,105.769997
1971/3/22,105.370003
1971/3/23,105.110001
1971/3/24,104.699997
1971/3/25,104.599998
1971/3/26,105.07
1971/3/29,105.199997
1971/3/30,105.440002
1971/3/31,105.970001
1971/4/1,106.339996
1971/4/2,106.860001
1971/4/5,107.169998
1971/4/6,107.559998
1971/4/7,108.059998
1971/4/8,108.379997
1971/4/12,108.870003
1971/4/13,108.849998
1971/4/14,109.080002
1971/4/15,109.690002
1971/4/16,109.959999
1971/4/19,110.160004
1971/4/20,109.529999
1971/4/21,109.519997
1971/4/22,109.989998
1971/4/23,110.690002
1971/4/26,111.129997
1971/4/27,111.690002
1971/4/28,112.370003
1971/4/29,112.459999
1971/4/30,112.300003
1971/5/3,111.349998
1971/5/4,111.769997
1971/5/5,111.68
1971/5/6,111.059998
1971/5/7,110.660004
1971/5/10,110.150002
1971/5/11,110.330002
1971/5/12,110.370003
1971/5/13,110.550003
1971/5/14,110.739998
1971/5/17,109.150002
1971/5/18,108.400002
1971/5/19,108.330002
1971/5/20,108.720001
1971/5/21,108.849998
1971/5/24,108.419998
1971/5/25,107.5
1971/5/26,107.529999
1971/5/27,107.599998
1971/5/28,108.25
1971/6/1,108.870003
1971/6/2,109.559998
1971/6/3,110.220001
1971/6/4,110.660004
1971/6/7,110.760002
1971/6/8,110.019997
1971/6/9,109.790001
1971/6/10,110.059998
1971/6/11,110.199997
1971/6/14,109.57
1971/6/15,109.360001
1971/6/16,109.440002
1971/6/17,109.440002
1971/6/18,108.160004
1971/6/21,106.5
1971/6/22,105.489998
1971/6/23,105.989998
1971/6/24,106.370003
1971/6/25,106.559998
1971/6/28,106.449997
1971/6/29,107.220001
1971/6/30,107.800003
1971/7/1,108.470001
1971/7/2,108.769997
1971/7/6,109.230003
1971/7/7,110.010002
1971/7/8,110.419998
1971/7/9,110.910004
1971/7/12,111.239998
1971/7/13,110.760002
1971/7/14,110.339996
1971/7/15,110.720001
1971/7/16,109.980003
1971/7/19,109.370003
1971/7/20,109.790001
1971/7/21,109.739998
1971/7/22,109.540001
1971/7/23,109.629997
1971/7/26,109.349998
1971/7/27,108.57
1971/7/28,107.449997
1971/7/29,105.809998
1971/7/30,105.269997
1971/8/2,105.589996
1971/8/3,104.410004
1971/8/4,103.260002
1971/8/5,103.110001
1971/8/6,103.779999
1971/8/9,103.18
1971/8/10,103.040001
1971/8/11,104.080002
1971/8/12,105.209999
1971/8/13,105.440002
1971/8/16,107.860001
1971/8/17,108.93
1971/8/18,108.389999
1971/8/19,108.010002
1971/8/20,107.889999
1971/8/23,108.260002
1971/8/24,108.599998
1971/8/25,108.849998
1971/8/26,108.970001
1971/8/27,109.300003
1971/8/30,108.709999
1971/8/31,108.419998
1971/9/1,108.650002
1971/9/2,108.959999
1971/9/3,109.980003
1971/9/7,110.529999
1971/9/8,110.580002
1971/9/9,110.550003
1971/9/10,110.419998
1971/9/13,110.220001
1971/9/14,109.769997
1971/9/15,109.790001
1971/9/16,109.779999
1971/9/17,110.099998
1971/9/20,109.989998
1971/9/21,109.82
1971/9/22,108.989998
1971/9/23,108.800003
1971/9/24,108.879997
1971/9/27,108.18
1971/9/28,108.379997
1971/9/29,108.599998
1971/9/30,109.029999
1971/10/1,109.580002
1971/10/4,109.959999
1971/10/5,109.989998
1971/10/6,110.68
1971/10/7,110.980003
1971/10/8,110.739998
1971/10/11,110.709999
1971/10/12,110.910004
1971/10/13,110.690002
1971/10/14,109.870003
1971/10/15,109.599998
1971/10/18,109.059998
1971/10/19,107.989998
1971/10/20,106.580002
1971/10/21,106.610001
1971/10/22,106.800003
1971/10/25,106.290001
1971/10/26,105.690002
1971/10/27,104.279999
1971/10/28,104.5
1971/10/29,105.099998
1971/11/1,103.690002
1971/11/2,103.540001
1971/11/3,105.010002
1971/11/4,105.559998
1971/11/5,105.459999
1971/11/8,105.43
1971/11/9,105.720001
1971/11/10,104.860001
1971/11/11,103.739998
1971/11/12,103.910004
1971/11/15,103.440002
