DATE,Recession,Discount_Rate,Indus_Production_YoY,CPI_YoY,Core_CPI_YoY,PPI_YoY,Unemployment_Rate,Disposable_Income_YoY,PCE_YoY,SP500PE,TB3MS,RSAFS_MoM
1/1/1940,0,,,,,,,,,13.23,0.01,
2/1/1940,0,,,,,,,,,12.73,0.02,
3/1/1940,0,,,,,,,,,12.27,0.02,
4/1/1940,0,,,,,,,,,12.19,0.02,
5/1/1940,0,,,,,,,,,10.34,0.06,
6/1/1940,0,,,,,,,,,9.3,0.1,
7/1/1940,0,,,,,,,,,9.48,0.05,
8/1/1940,0,,,,,,,,,9.56,0.04,
9/1/1940,0,,,,,,,,,9.84,0.05,
10/1/1940,0,,,,,,,,,10.03,0.02,
11/1/1940,0,,,,,,,,,10.36,0.02,
12/1/1940,0,,,,,,,,,10.03,0.02,
1/1/1941,0,,17.35049454,1.438848921,,1.459854015,,,,10.02,0.02,
2/1/1941,0,,24.75588185,0.714285714,,2.205882353,,,,9.36,0.04,
3/1/1941,0,,31.66749318,1.428571429,,3.703703704,,,,9.39,0.11,
4/1/1941,0,,29.4118362,2.142857143,,6.666666667,,,,9.01,0.1,
5/1/1941,0,,31.42880758,2.857142857,,8.148148148,,,,8.73,0.11,
6/1/1941,0,,28.3078895,4.255319149,,11.94029851,,,,8.95,0.12,
7/1/1941,0,,28.26797201,5,,14.17910448,,,,9.13,0.12,
8/1/1941,0,,29.00275296,6.428571429,,16.41791045,,,,8.83,0.13,
9/1/1941,0,,26.33119491,7.857142857,,17.91044776,,,,8.61,0.1,
10/1/1941,0,,25.65684605,9.285714286,,16.91176471,,,,8.33,0.09,
11/1/1941,0,,23.36286187,10,,16.05839416,,,,8.01,0.28,
12/1/1941,0,,21.2123075,9.929078014,,17.39130435,,,,7.55,0.33,
1/1/1942,0,,20.69806737,11.34751773,,18.70503597,,,,7.97,0.27,
2/1/1942,0,,19.32100684,12.05673759,,20.14388489,,,,8.01,0.25,
3/1/1942,0,,16.96185607,12.67605634,,20,,,,7.87,0.25,
4/1/1942,0,,13.38392614,12.58741259,,18.05555556,,,,7.69,0.32,
5/1/1942,0,,8.695456873,13.19444444,,16.43835616,,,,7.93,0.37,
6/1/1942,0,,8.153017357,10.88435374,,13.33333333,,,,8.5,0.37,
7/1/1942,0,,9.478944492,11.56462585,,11.11111111,,,,8.94,0.38,
8/1/1942,0,,11.47588105,10.73825503,,9.615384615,,,,9.01,0.38,
9/1/1942,0,,14.05153041,9.271523179,,8.860759494,,,,9.23,0.38,
10/1/1942,0,,16.70492397,9.150326797,,8.176100629,,,,9.61,0.38,
11/1/1942,0,,18.93746779,9.090909091,,8.805031447,,,,9.47,0.38,
12/1/1942,0,,19.77227773,9.032258065,,7.407407407,,,,9.24,0.38,
1/1/1943,0,,18.48559903,7.643312102,,6.060606061,,,,9.67,0.38,
2/1/1943,0,,19.47473794,6.962025316,,5.988023952,,,,10.12,0.38,
3/1/1943,0,,19.04731236,7.5,,5.952380952,,,,10.35,0.38,
4/1/1943,0,,24.05381002,8.074534161,,5.294117647,,,,10.59,0.38,
5/1/1943,0,,24.66650136,7.36196319,,5.294117647,,,,10.91,0.38,
6/1/1943,0,,23.72524926,7.36196319,,5.294117647,,,,11,0.38,
7/1/1943,0,,24.45880999,6.097560976,,4.705882353,,,,11.3,0.38,
8/1/1943,0,,23.31908643,4.848484848,,4.093567251,,,,10.8,0.38,
9/1/1943,0,,23.61422964,5.454545455,,3.488372093,,,,11.1,0.38,
10/1/1943,0,,21.47145815,4.191616766,,3.488372093,,,,11.5,0.38,
11/1/1943,0,,20.19398124,3.571428571,,2.312138728,,,,11.48,0.38,
12/1/1943,0,,15.93939009,2.958579882,,2.298850575,,,,12.21,0.38,
1/1/1944,0,,16.16574732,2.958579882,,1.714285714,,,,12.65,0.38,
2/1/1944,0,,14.10276497,2.958579882,,0.564971751,,,,12.61,0.38,
3/1/1944,0,,13.09060909,1.162790698,,0.561797753,,,,13.01,0.38,
4/1/1944,0,,11.66941553,0.574712644,,0,,,,12.83,0.38,
5/1/1944,0,,10.16083907,0,,0,,,,13.1,0.38,
6/1/1944,0,,10.39405978,0.571428571,,0.558659218,,,,13.77,0.38,
7/1/1944,0,,6.956060518,1.724137931,,0.561797753,,,,14.23,0.38,
8/1/1944,0,,6.132741961,2.312138728,,0.561797753,,,,14.13,0.38,
9/1/1944,0,,2.824080367,1.724137931,,0.561797753,,,,14,0.38,
10/1/1944,0,,1.63685947,1.724137931,,0.561797753,,,,14.19,0.38,
11/1/1944,0,,-0.484891455,1.724137931,,1.694915254,,,,13.93,0.38,
12/1/1944,0,,0.490631734,2.298850575,,1.123595506,,,,14.09,0.38,
1/1/1945,0,,-1.618319692,2.298850575,,1.685393258,,,,14.35,0.38,
2/1/1945,0,,-2.728293056,2.298850575,,1.685393258,,,,14.67,0.38,
3/1/1945,1,,-3.215236045,2.298850575,,1.117318436,,,,14.51,0.38,
4/1/1945,1,,-4.983406584,1.714285714,,1.675977654,,,,14.67,0.38,
5/1/1945,1,,-6.957751565,2.285714286,,2.234636872,,,,15.02,0.38,
6/1/1945,1,,-8.766347466,2.840909091,,1.666666667,,,,15.09,0.38,
7/1/1945,1,,-10.73158636,2.259887006,,2.234636872,,,,14.83,0.38,
8/1/1945,1,,-21.02696055,2.259887006,,1.675977654,,,,14.93,0.38,
9/1/1945,1,,-27.62499324,2.259887006,,1.117318436,,,,16,0.38,
10/1/1945,1,,-30.75697593,2.259887006,,1.675977654,,,,16.84,0.38,
11/1/1945,0,,-27.59717912,2.259887006,,2.222222222,,,,17.57,0.38,
12/1/1945,0,,-27.03532747,2.247191011,,2.222222222,,,,18.05,0.38,
1/1/1946,0,,-30.42741526,2.247191011,,1.657458564,,,,19.17,0.38,
2/1/1946,0,,-33.6633238,1.685393258,,2.209944751,,,,19.64,0.38,
3/1/1946,0,,-26.24584512,2.808988764,,3.867403315,,,,19.48,0.38,
4/1/1946,0,,-26.22702186,3.370786517,,4.395604396,,,,21.2,0.38,
5/1/1946,0,,-26.95683672,3.351955307,,4.371584699,,,,21.74,0.38,
6/1/1946,0,,-20.64022554,3.314917127,,6.010928962,,,,22.12,0.38,
7/1/1946,0,,-16.02894152,9.392265193,,17.4863388,,,,21.07,0.38,
8/1/1946,0,,-2.845414755,11.60220994,,21.97802198,,,,20.27,0.38,
9/1/1946,0,,8.704639984,12.70718232,,18.2320442,,,,16.96,0.38,
10/1/1946,0,,15.34861996,14.91712707,,26.92307692,,,,15.58,0.38,
11/1/1946,0,,11.88341742,17.67955801,,30.97826087,,,,14.64,0.38,
12/1/1946,0,,12.05283389,18.13186813,,32.06521739,,,,14.27,0.38,
1/1/1947,0,,20.09478506,18.13186813,,33.15217391,,,,13.46,0.38,
2/1/1947,0,,27.11384558,18.78453039,,33.51351351,,,,13.17,0.38,
3/1/1947,0,,15.76601858,19.67213115,,34.57446809,,,,11.94,0.38,
4/1/1947,0,,16.97234402,19.02173913,,32.10526316,,,,11,0.38,
5/1/1947,0,,21.90499805,18.37837838,,30.89005236,,,,10.37,0.38,
6/1/1947,0,,14.7979819,17.64705882,,28.86597938,,,,10.31,0.38,
7/1/1947,0,,10.41162423,12.12121212,,17.6744186,,,,10.68,0.66,
8/1/1947,0,,7.112567013,11.38613861,,15.31531532,,,,10.22,0.75,
9/1/1947,0,,5.955490385,12.74509804,,21.96261682,,,,9.72,0.8,
10/1/1947,0,,5.040567495,10.57692308,,14.28571429,,,,9.84,0.85,
11/1/1947,0,,5.811500764,8.450704225,,10.78838174,,,,9.6,0.92,
12/1/1947,0,,5.578235325,8.837209302,,11.93415638,,,,9.34,0.95,
1/1/1948,0,,4.920745323,10.23255814,,13.06122449,3.4,,,9.02,0.97,
2/1/1948,0,,4.501022629,9.302325581,,10.12145749,3.8,,,8.41,1,
3/1/1948,0,,2.723628417,6.849315068,,7.509881423,4,,,8.36,1,
4/1/1948,0,,3.725879144,8.675799087,,9.163346614,3.9,,,8.75,1,
5/1/1948,0,,5.078454162,9.132420091,,10,3.5,,,8.92,1,
6/1/1948,0,,6.445590586,9.545454545,,10.8,3.6,,,9.04,1,
7/1/1948,0,,7.073283012,9.90990991,,10.67193676,3.6,,,8.51,1,
8/1/1948,0,,6.054772628,8.888888889,,10.15625,3.9,,,7.97,1.06,
9/1/1948,0,,4.456665898,6.52173913,,7.662835249,3.8,,,7.61,1.09,
10/1/1948,0,,4.222587093,6.086956522,,5.303030303,3.7,,,7.55,1.12,
11/1/1948,0,,1.515194207,4.761904762,,4.119850187,3.8,,,6.9,1.14,
12/1/1948,1,,0.188070175,2.991452991,,1.470588235,4,,,6.63,1.16,
1/1/1949,1,,-1.313273694,1.265822785,,-1.444043321,4.3,,,6.62,1.17,
2/1/1949,1,,-2.434267804,1.276595745,,-1.470588235,4.7,,,6.29,1.17,
3/1/1949,1,,-3.219875741,1.709401709,,-1.470588235,5,,,6.26,1.17,
4/1/1949,1,,-3.969598751,0.420168067,,-3.284671533,5.3,,,6.24,1.17,
5/1/1949,1,,-6.877933785,-0.418410042,,-4.363636364,6.1,,,6.18,1.17,
6/1/1949,1,,-8.256843168,-0.829875519,,-6.137184116,6.2,,,5.82,1.17,
7/1/1949,1,,-8.440419564,-2.868852459,,-7.142857143,6.7,,,6.16,1.02,
8/1/1949,1,,-7.182437755,-2.857142857,,-7.80141844,6.8,,,6.39,1.04,
9/1/1949,1,,-5.565177789,-2.448979592,,-7.117437722,6.6,,,6.48,1.07,
10/1/1949,1,,-9.76060824,-2.868852459,,-6.474820144,7.9,,,6.71,1.05,
