DATE,Recession,Nominal_GDP_YoY,Real_GDP_YoY,CP_QoQ
1/1/1947,0,,,
4/1/1947,0,,,-5.380063723
7/1/1947,0,,,-1.077544737
10/1/1947,0,,,9.176230305
1/1/1948,0,9.285091543,2.611513089,5.736938221
4/1/1948,0,10.81400833,4.58442587,5.063397784
7/1/1948,0,11.8640944,5.401227748,-1.563690309
10/1/1948,0,7.938940114,3.893671832,-3.22186469
1/1/1949,1,3.496624546,0.94321426,-8.741582492
4/1/1949,1,-0.446128842,-1.034923507,-11.58050085
7/1/1949,1,-2.258986518,-0.5828533,3.359065304
10/1/1949,1,-3.473673698,-1.527331611,-1.81166734
1/1/1950,0,2.106648633,3.77285633,2.980932312
4/1/1950,0,7.013793942,7.303357821,18.85511803
7/1/1950,0,12.92247031,10.3101619,20.83560781
10/1/1950,0,18.22360666,13.37239385,9.743892692
1/1/1951,0,19.64618913,10.56487692,-16.57958899
4/1/1951,0,18.49522872,9.149921288,-14.25697476
7/1/1951,0,14.02939449,7.252998355,-8.017176502
10/1/1951,0,11.32475894,5.468163272,8.73038791
1/1/1952,0,7.089285714,5.16533171,-2.345963173
4/1/1952,0,4.923130576,3.596273899,-3.476566041
7/1/1952,0,4.643339926,2.237363729,1.385301714
10/1/1952,0,6.916204819,5.36408418,10.01389532
1/1/1953,0,7.82613529,6.189877102,3.608117211
4/1/1953,0,8.508711187,6.781988441,0.199114145
7/1/1953,0,6.3829035,5.420994314,-1.853353881
10/1/1953,1,1.354474124,0.524061505,-20.04049419
1/1/1954,1,-0.67915872,-1.78192502,13.29130278
4/1/1954,1,-1.436634171,-2.428776866,2.764220225
7/1/1954,0,-0.044737468,-0.768331103,5.699320875
10/1/1954,0,3.566080265,2.728619425,7.147356486
1/1/1955,0,7.19562989,6.170198707,12.02429943
4/1/1955,0,9.170959362,7.780241231,1.682818459
7/1/1955,0,10.03207194,8.015915392,2.68029177
10/1/1955,0,9.3457149,6.579017261,4.262306068
1/1/1956,0,6.457212163,3.216953693,-1.651936365
4/1/1956,0,5.806913829,2.403458082,2.761347668
7/1/1956,0,4.874239054,0.947971944,-3.927367551
10/1/1956,0,5.346929251,1.996825628,5.521167787
1/1/1957,0,6.829624374,3.049755574,0.925374071
4/1/1957,0,5.83282886,1.98098161,-4.012556723
7/1/1957,0,6.272066597,3.072775285,-1.971958683
10/1/1957,1,3.127504273,0.354698566,-7.769042743
1/1/1958,1,-0.476607085,-2.872290198,-13.2010601
4/1/1958,1,-0.0099571,-2.019544787,1.501898003
7/1/1958,0,1.324532316,-0.725956065,10.01626016
10/1/1958,0,5.199593989,2.657328863,12.5406444
1/1/1959,0,9.152158104,7.415106238,7.380655329
4/1/1959,0,10.73672925,9.118833932,8.377667706
