Date,smoothed,type
1948-02-28,166.7461071,trough
1948-06-02,191.8041947,peak
1948-08-09,181.2076029,trough
1948-08-24,182.6048184,peak
1948-09-27,178.816986,trough
1948-10-21,187.3123213,peak
1948-11-24,173.6018411,trough
1949-01-18,181.3648276,peak
1949-02-19,172.8985939,trough
1949-03-26,176.9510991,peak
1949-06-16,164.4140023,trough
1950-01-16,199.2045885,trough
1950-06-07,225.2092816,peak
1950-07-17,203.3265204,trough
1950-10-11,229.9495172,peak
1950-10-30,227.5846265,trough
1950-11-22,229.8329666,peak
1950-12-13,227.607533,trough
1951-02-17,254.4109897,peak
1951-03-26,247.6099009,trough
1951-05-01,260.1672829,peak
1951-07-02,248.5974212,trough
1951-09-26,275.2333895,peak
1951-11-13,258.3574717,trough
1952-01-08,269.2030998,trough
1952-01-24,273.8816128,peak
1952-03-01,261.3214529,trough
1952-03-28,266.4002834,peak
1952-04-28,259.6496983,trough
1952-07-25,278.3751639,peak
1952-10-22,266.6085527,trough
1953-02-19,282.9088138,trough
1953-03-17,288.0576761,peak
1953-04-20,273.6303897,trough
1953-05-11,277.9203818,peak
1953-06-16,265.9812292,trough
1953-08-11,274.3654123,peak
1953-09-16,260.1730249,trough
1953-12-18,281.9211264,peak
1954-08-09,346.9376379,peak
1954-08-27,343.8834021,trough
1954-09-30,361.8945267,peak
1954-10-19,356.870047,trough
1955-01-14,394.5867099,trough
1955-02-17,413.2771136,peak
1955-03-16,406.2753837,trough
1955-04-21,426.0181513,peak
1955-05-17,419.7078648,trough
1955-07-19,463.3936972,peak
1955-08-12,454.3969649,trough
1955-09-13,480.4197133,peak
1955-10-17,448.2803624,trough
1956-02-01,469.2744999,trough
1956-04-06,513.0028666,peak
1956-06-05,477.797368,trough
1956-07-27,518.2693038,peak
1956-10-09,480.5905054,trough
1956-10-25,489.3561767,peak
1956-11-26,476.0067829,trough
1956-12-21,498.0945399,peak
1957-02-15,466.3628609,trough
1957-07-19,516.302621,peak
1957-11-01,431.24038,trough
1957-11-29,443.4368521,peak
1958-01-08,441.2998957,trough
1958-01-29,450.5753142,peak
1958-02-20,442.3386636,trough
1958-03-17,450.7337693,peak
1958-04-08,443.8537122,trough
1959-01-14,595.605739,peak
1959-02-05,587.0458225,trough
1959-03-13,611.3172774,peak
1959-03-26,606.5797481,trough
1959-05-25,633.420131,peak
1959-06-09,628.9585952,trough
1959-07-22,668.5665594,peak
1959-09-29,629.5368301,trough
1959-12-23,676.6702465,peak
1960-03-11,612.7853693,trough
1960-04-06,626.2333379,peak
1960-05-09,608.2385555,trough
1960-06-20,649.571962,peak
1960-07-29,612.5870228,trough
1960-08-24,632.0285066,peak
1960-10-11,578.7935435,trough
1961-05-25,700.6086102,peak
1961-07-06,683.8700105,trough
1961-08-22,724.2703528,peak
1961-10-10,699.2504064,trough
1961-11-30,733.48808,peak
1961-12-20,723.8012419,trough
1962-01-19,699.9999715,trough
1962-03-12,715.4970368,peak
1962-06-22,562.9710026,trough
1962-08-24,609.9862658,peak
1962-10-15,576.2199046,trough
1962-12-04,652.4031835,peak
1962-12-20,643.0886061,trough
1963-02-04,681.7871703,peak
1963-03-08,670.6195031,trough
1963-05-27,723.7607638,peak
1963-07-23,695.794318,trough
1963-10-23,751.9502625,peak
1963-11-21,743.1276147,trough
1963-12-20,766.9960693,peak
1964-05-06,823.8957966,peak
1964-06-08,811.3572416,trough
1964-07-13,846.648659,peak
1964-08-13,832.9374189,trough
1964-10-06,876.8573268,peak
1964-10-19,873.7315131,trough
1964-11-16,880.046644,peak
1964-12-21,861.9459693,trough
1965-01-28,898.7673341,peak
1965-02-18,893.2879234,trough
1965-03-12,896.9604095,peak
1965-03-29,893.9311973,trough
1965-05-10,932.539194,peak
1965-06-29,867.4324986,trough
1965-11-03,957.2186227,peak
1965-12-02,946.5623056,trough
1966-01-27,991.9024859,peak
1966-03-17,920.1316689,trough
1966-04-14,948.8605176,peak
1966-05-23,878.0711129,trough
1966-06-22,892.449747,peak
1966-10-10,769.4202092,trough
1966-11-07,810.5045087,peak
1966-12-01,801.144209,trough
1966-12-16,806.5839522,peak
1967-02-02,854.1575503,peak
1967-02-24,845.1803795,trough
1967-05-04,896.0692717,peak
1967-06-02,869.2860985,trough
1967-08-04,920.2818199,peak
1967-08-24,905.7839571,trough
1967-09-28,933.6871761,peak
1967-11-10,862.124699,trough
1968-03-11,830.6600108,trough
1968-04-29,915.1534452,peak
1968-06-03,899.9328071,trough
1968-06-27,912.3267339,peak
1968-08-12,881.011798,trough
1968-12-09,978.9278797,peak
1969-01-13,925.0820282,trough
1969-02-03,946.3337946,peak
1969-03-10,908.9790238,trough
1969-05-14,959.8889783,peak
1969-08-05,817.4168909,trough
1969-09-04,831.5846321,peak
1969-09-25,816.7843161,trough
1969-11-03,860.8632668,peak
1969-12-16,780.541456,trough
1970-02-05,750.9321382,trough
1970-04-06,786.1509391,peak
1970-05-22,681.8177633,trough
1970-06-17,697.4253184,peak
1970-07-01,692.3836795,trough
1970-10-16,766.0756258,peak
1970-11-03,758.7025413,trough
1971-04-28,945.2694216,peak
1971-08-05,860.4688124,trough
1971-09-03,909.998783,peak
1971-11-12,817.2273653,trough
1972-01-12,910.6441213,peak
1972-01-31,902.5052453,trough
1972-04-14,959.7178306,peak
1972-05-08,943.7344613,trough
1972-06-01,956.5357856,peak
1972-07-18,922.0368678,trough
1972-08-21,967.4051666,peak
1972-10-09,938.4269565,trough
1972-12-05,1027.940292,peak
1973-06-29,880.4051034,trough
1973-07-24,919.215821,peak
1973-08-27,869.5899841,trough
1973-10-16,978.0252607,peak
1973-12-07,811.3642299,trough
1974-02-12,829.8195802,trough
1974-03-13,880.2943744,peak
1974-05-21,824.5408746,trough
1974-06-11,832.4183558,peak
1974-10-08,627.8146037,trough
1974-10-31,668.085824,peak
1974-12-13,589.982853,trough
1975-05-09,840.7563778,peak
1975-06-04,828.4565278,trough
1975-07-07,871.658813,peak
1975-08-18,813.0474172,trough
1975-08-29,820.5514492,peak
1975-09-24,812.1080054,trough
1975-11-05,847.2130526,peak
1975-12-15,837.3752638,trough
1976-05-05,1000.516791,peak
1976-05-26,974.5803788,trough
1976-07-01,1002.589405,peak
1976-08-24,977.6534805,trough
1976-09-20,996.5738322,peak
1976-10-26,940.8916392,trough
1977-02-15,938.7936593,trough
1977-03-08,951.3112732,peak
1977-04-13,925.9551617,trough
1977-05-02,936.8996394,peak
1977-06-06,912.141517,trough
1977-06-28,920.3776966,peak
1977-10-25,812.501756,trough
1977-11-22,834.0742313,peak
1977-12-19,811.1393979,trough
1978-03-09,751.9754706,trough
1978-06-02,852.6287989,peak
1978-07-06,815.5195938,trough
1978-08-24,897.572966,peak
1978-11-13,797.7032116,trough
1978-12-05,811.9781351,peak
1978-12-21,800.6243742,trough
1979-01-23,844.5835124,peak
1979-02-21,821.3399816,trough
1979-04-05,870.6208351,peak
1979-05-23,831.2909886,trough
1979-06-28,842.4900375,peak
1979-07-16,833.1610285,trough
1979-09-21,884.7811686,peak
1979-11-05,806.4679293,trough
1979-12-21,842.4949509,peak
1980-02-07,885.579295,peak
1980-04-02,772.6605699,trough
1980-10-03,959.1966456,peak
1980-10-23,940.6728874,trough
