DATE,Recession,Gold_reserves_billion
1940-01-03,0,153.14024
1940-01-10,0,153.93928
1940-01-17,0,154.42506
1940-01-24,0,154.91722
1940-01-31,0,155.61455
1940-02-07,0,156.29737
1940-02-14,0,156.84736
1940-02-21,0,157.48552
1940-02-28,0,158.03195
1940-03-06,0,158.78193
1940-03-13,0,159.41980999999998
1940-03-20,0,160.05956
1940-03-27,0,160.55857
1940-04-03,0,161.09742
1940-04-10,0,161.69745999999998
1940-04-17,0,162.98251
1940-04-24,0,163.87616999999997
1940-05-01,0,164.52617999999998
1940-05-08,0,165.06063999999998
1940-05-15,0,167.01064
1940-05-22,0,168.49713
1940-05-29,0,169.44493999999997
1940-06-05,0,170.63982
1940-06-12,0,172.12666000000002
1940-06-19,0,175.47666
1940-06-26,0,176.64338
1940-07-03,0,178.51337
1940-07-10,0,179.55338
1940-07-17,0,180.38831
1940-07-24,0,181.26829
1940-07-31,0,182.01829
1940-08-07,0,182.86828000000003
1940-08-14,0,183.99931
1940-08-21,0,184.98804
1940-08-28,0,185.73804
1940-09-04,0,186.42695
1940-09-11,0,186.82695999999999
1940-09-18,0,187.67696
1940-09-25,0,188.5509
1940-10-02,0,189.65092
1940-10-09,0,190.43681
1940-10-16,0,190.88583
1940-10-23,0,191.77374
1940-10-30,0,192.90372
1940-11-06,0,193.33696
1940-11-13,0,194.03691999999998
1940-11-20,0,195.02471000000003
1940-11-27,0,195.57448
1940-12-04,0,196.06294999999997
1940-12-11,0,196.41295
1940-12-18,0,196.72008999999997
1940-12-24,0,196.9201
1940-12-31,0,197.60473000000002
1941-01-08,0,198.13889
1941-01-15,0,198.55502
1941-01-22,0,198.89604
1941-01-29,0,199.06605
1941-02-05,0,199.13064999999997
1941-02-12,0,199.12379
1941-02-19,0,199.11939999999998
1941-02-26,0,199.70525
1941-03-05,0,200.40490000000003
1941-03-12,0,201.14193
1941-03-19,0,201.14195
1941-03-26,0,201.12848999999997
1941-04-02,0,201.11767
